<<<<<<< HEAD
ids,label
=======
>>>>>>> 0b8860dd4ea1117fa1eee820831409d2e33c395d
0,cat
6,automobile
8,cat
9,automobile
12,dog
16,dog
24,dog
25,bird
31,dog
33,dog
35,bird
37,automobile
39,dog
42,dog
46,cat
53,cat
61,cat
63,cat
65,bird
66,automobile
67,bird
68,cat
70,bird
75,bird
77,cat
78,cat
81,automobile
82,automobile
84,bird
85,dog
86,bird
91,cat
101,dog
103,cat
104,automobile
105,automobile
106,cat
113,bird
114,automobile
115,cat
118,bird
121,cat
122,automobile
123,bird
127,cat
128,dog
129,bird
131,automobile
134,automobile
135,bird
138,bird
141,dog
143,cat
147,bird
148,dog
149,bird
155,dog
156,bird
158,dog
160,bird
161,automobile
168,dog
176,cat
178,dog
181,dog
182,bird
183,bird
184,cat
187,cat
190,dog
193,automobile
195,bird
200,dog
201,automobile
204,automobile
205,cat
207,dog
212,dog
219,bird
224,cat
230,dog
231,automobile
232,dog
238,dog
239,dog
240,automobile
241,automobile
245,cat
246,automobile
248,bird
249,bird
250,dog
251,cat
256,cat
261,automobile
262,dog
266,bird
270,bird
271,cat
273,cat
275,dog
277,cat
279,cat
283,automobile
286,automobile
290,automobile
291,bird
294,cat
302,cat
303,bird
305,automobile
307,bird
308,automobile
318,dog
319,dog
320,cat
321,dog
322,bird
323,cat
325,automobile
327,dog
330,automobile
332,cat
336,cat
340,bird
342,bird
343,dog
345,dog
351,automobile
353,bird
354,bird
356,cat
357,bird
361,dog
363,automobile
366,automobile
367,cat
369,automobile
374,bird
384,bird
387,bird
388,bird
389,dog
390,automobile
391,bird
393,bird
396,bird
397,cat
399,cat
407,automobile
409,bird
412,cat
414,automobile
418,cat
421,dog
424,bird
426,cat
430,bird
431,dog
432,cat
434,cat
436,bird
437,dog
438,cat
439,automobile
440,automobile
444,dog
446,dog
448,bird
449,bird
450,bird
453,cat
456,cat
457,dog
460,dog
462,automobile
464,cat
467,cat
470,cat
474,dog
478,dog
483,dog
484,dog
488,dog
490,automobile
493,automobile
494,automobile
497,bird
498,bird
502,dog
510,dog
513,automobile
514,dog
515,cat
518,dog
520,dog
525,dog
533,dog
537,bird
540,automobile
544,dog
546,automobile
548,bird
549,dog
550,dog
551,dog
553,dog
558,cat
559,bird
563,bird
564,bird
565,cat
569,bird
572,automobile
573,cat
579,dog
586,cat
592,bird
594,automobile
597,cat
598,dog
599,cat
601,dog
603,bird
604,automobile
607,cat
608,cat
614,dog
618,bird
619,automobile
622,automobile
623,bird
629,automobile
630,bird
631,dog
637,cat
639,dog
640,dog
641,cat
645,automobile
646,cat
649,dog
650,cat
652,dog
655,bird
656,automobile
657,automobile
659,automobile
664,cat
668,automobile
669,cat
671,cat
673,cat
674,bird
676,cat
677,automobile
679,dog
688,cat
690,cat
691,bird
692,bird
695,cat
697,bird
699,dog
701,bird
706,bird
715,cat
716,cat
723,automobile
725,bird
726,automobile
727,cat
729,dog
731,bird
736,automobile
738,automobile
739,cat
740,bird
748,bird
749,dog
751,bird
753,automobile
754,bird
755,bird
758,bird
759,automobile
760,cat
764,automobile
765,bird
768,dog
771,automobile
775,bird
776,bird
779,dog
781,automobile
786,cat
790,cat
792,cat
796,automobile
799,bird
801,automobile
810,dog
811,cat
813,bird
817,dog
819,cat
821,bird
825,cat
828,dog
829,cat
830,automobile
831,cat
832,bird
833,bird
834,dog
836,automobile
837,bird
